"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1897037158210531430","Tue Mar 04 23:00:40 +0000 2025","0","@bry4n_cyrus aku sebenernya kurang tau juga cuma setau ku ini tuh banjir kiriman kak tapi udh mulai surut di beberapa daerah yang kemarin banjir nya parah makasih ya kak","1897059649536582134","","bry4n_cyrus","in","magic shop ","0","0","0","https://x.com/mineyg29/status/1897059649536582134","1540984929504198657","mineyg29"
"1897013508405113161","Tue Mar 04 23:00:13 +0000 2025","0","@Gojekmilitan Astagaaa gada pikirannya rakyat ga bisa makan karna banjir orang mah lu kalo mo pencitraan lu renang di banjiran malah pamer ngungsi ke hotel","1897059535891915154","","Gojekmilitan","in","pamulang","0","0","0","https://x.com/mbaktriegasswin/status/1897059535891915154","1316267132","mbaktriegasswin"
"1897039213834723518","Tue Mar 04 23:00:08 +0000 2025","0","@RestuAria @txtdrjkt Banjir juga kemarin om","1897059513498526019","","RestuAria","in","","0","0","0","https://x.com/abdulsapri36980/status/1897059513498526019","1706709391985311744","abdulsapri36980"
"1897047771758432572","Tue Mar 04 23:00:03 +0000 2025","0","@yerimiesecici @yerimiesecici Kak Yerimie mohon maaf atas gangguan ini setelah kami lakukan pengecekan data untuk di wilayah tersebut terjadi gangguan diakibatkan banjir dan masih dalam proses penanganan oleh petugas kami. Agar semua makin mudah ayo download aplikasi New PLN Mobile. Tks","1897059492032098504","","yerimiesecici","in","Indonesia","0","0","0","https://x.com/pln_123/status/1897059492032098504","558516132","pln_123"
"1897059486654943576","Tue Mar 04 23:00:01 +0000 2025","0","Imbas Banjir KAI Commuter Rekayasa Pola Operasional KRL Bekasi https://t.co/1DrLlfdUcY","1897059486654943576","","","in","","0","0","0","https://x.com/Fortune_IDN/status/1897059486654943576","1380017096390676483","Fortune_IDN"
"1897033722312139025","Tue Mar 04 22:59:32 +0000 2025","0","@alisyarief Akan mudah ditangani kalau jadi presiden. Udah 10 tahun bahkan udah pensiun masih banjir juga. ","1897059361270456537","","alisyarief","in","Indonesia","0","0","0","https://x.com/saifulteladan/status/1897059361270456537","213682020","saifulteladan"
"1897059334175281642","Tue Mar 04 22:59:25 +0000 2025","1","Soal banjir &amp; masalah lingkungan ini kita nggak bisa set back ke masa lalu dari kawasan sebuah lingkungan Pemerintah para ahli aktivis pemerhati hrsnya bergerak dari kondisi realita yg dihadapi hari ini &amp; membangun solusi terbaik mungkin pragmatis &amp; tdk ideal tp jd solusi","1897059334175281642","","","in","Indonesia Raya","0","0","0","https://x.com/giIangmahesa/status/1897059334175281642","29385415","giIangmahesa"
"1897048819629744632","Tue Mar 04 22:59:13 +0000 2025","0","@idextratime Pantesan banyak yg kena banjir","1897059285215141970","","idextratime","in","","0","0","0","https://x.com/FCNUKLIR/status/1897059285215141970","1698329988351889409","FCNUKLIR"
"1897059276637790515","Tue Mar 04 22:59:11 +0000 2025","3","MASIH MAU PERCAYA ADA TUHAN PENCIPTA YANG SEMPURNA ? Dengan menciptakan takdir bencana #banjir kebakaran bencana Gaza dimana banyak para penyembahnya telah ; Kehilangan mata pencaharian Kehilangan Harta benda bahkan tak sedikit kehilangan hewan ternak &amp; anggota keluarga?","1897059276637790515","","","in","","0","2","1","https://x.com/romoatheist/status/1897059276637790515","1707296384347697152","romoatheist"
"1897048637995376869","Tue Mar 04 22:58:47 +0000 2025","0","@onyourmarkipoo Syukurrr deh kmu ga banjir huhu:( msh blm surut yaa?️","1897059173944451418","","onyourmarkipoo","in","","0","1","0","https://x.com/noonanti/status/1897059173944451418","1216963358731063297","noonanti"
"1897039213834723518","Tue Mar 04 22:58:20 +0000 2025","0","@txtdrjkt min daerah klender jalan i gusti ngurah rai kena banjir ga ya?","1897059059301540049","","txtdrjkt","in","","0","1","0","https://x.com/headachead/status/1897059059301540049","1617342150009835524","headachead"
"1897058969543405861","Tue Mar 04 22:57:58 +0000 2025","0","Kebayang kalau masih handle kerjaan yang dulu... tiap musim hujan gini pasti STRESSS karena debit air naik plus banjir jg sensor sensor puluhan juta pada hanyut ","1897058969543405861","","","in","PP: kim jiwon, not me","0","1","0","https://x.com/shilverse/status/1897058969543405861","1795677745399369728","shilverse"
"1897058852593623070","Tue Mar 04 22:57:30 +0000 2025","0","ngeri banget liat berita banjir di depok sodara gua udah kena padahal ga jauh banget dari rumah tapi bersyukur aman dari banjir","1897058852593623070","","","in","21","0","0","0","https://x.com/themightyic/status/1897058852593623070","1539146524114014213","themightyic"
